config_file,key,file1,file2
dispatcher.xml,beans_@xmlns,http://www.springframework.org/schema/beans,http://www.springframework.org/schema/beans
dispatcher.xml,beans_@xmlns:mvc,http://www.springframework.org/schema/mvc,http://www.springframework.org/schema/mvc
dispatcher.xml,beans_@xmlns:xsi,http://www.w3.org/2001/XMLSchema-instance,http://www.w3.org/2001/XMLSchema-instance
dispatcher.xml,beans_@xmlns:p,http://www.springframework.org/schema/p,http://www.springframework.org/schema/p
dispatcher.xml,beans_@xmlns:aop,http://www.springframework.org/schema/aop,http://www.springframework.org/schema/aop
dispatcher.xml,beans_@xmlns:tx,http://www.springframework.org/schema/tx,http://www.springframework.org/schema/tx
dispatcher.xml,beans_@xmlns:context,http://www.springframework.org/schema/context,http://www.springframework.org/schema/context
dispatcher.xml,beans_@xsi:schemaLocation,http://www.springframework.org/schema/beans        http://www.springframework.org/schema/beans/spring-beans-3.0.xsd        http://www.springframework.org/schema/aop http://www.springframework.org/schema/aop/spring-aop-3.0.xsd        http://www.springframework.org/schema/tx http://www.springframework.org/schema/tx/spring-tx-3.0.xsd        http://www.springframework.org/schema/context        http://www.springframework.org/schema/context/spring-context-3.0.xsd        http://www.springframework.org/schema/mvc   http://www.springframework.org/schema/mvc/spring-mvc-3.0.xsd,http://www.springframework.org/schema/beans        http://www.springframework.org/schema/beans/spring-beans-3.0.xsd        http://www.springframework.org/schema/aop http://www.springframework.org/schema/aop/spring-aop-3.0.xsd        http://www.springframework.org/schema/tx http://www.springframework.org/schema/tx/spring-tx-3.0.xsd        http://www.springframework.org/schema/context        http://www.springframework.org/schema/context/spring-context-3.0.xsd        http://www.springframework.org/schema/mvc   http://www.springframework.org/schema/mvc/spring-mvc-3.0.xsd
dispatcher.xml,beans_mvc:resources_@mapping,/resources/**,/resources/**
dispatcher.xml,beans_mvc:resources_@location,/resources/,/resources/
dispatcher.xml,beans_mvc:annotation-driven,,
dispatcher.xml,beans_context:component-scan_@base-package,org.kp.oppr.rxnotifier,org.kp.oppr.rxnotifier
dispatcher.xml, beans_bean_@id,propertyConfigurer,propertyConfigurer
dispatcher.xml, beans_bean_@class,org.springframework.beans.factory.config.PropertyPlaceholderConfigurer,org.springframework.beans.factory.config.PropertyPlaceholderConfigurer
dispatcher.xml, beans_bean_property,{'@name': 'locations'| 'list': {'value': ['classpath:/ldap.properties'| 'classpath:/RxNotifierConfig.properties']}},{'@name': 'locations'| 'list': {'value': ['classpath:/ldap.properties'| 'classpath:/RxNotifierConfig.properties']}}
dispatcher.xml, beans_bean_@id,messageSource,messageSource
dispatcher.xml, beans_bean_@class,org.springframework.context.support.ResourceBundleMessageSource,org.springframework.context.support.ResourceBundleMessageSource
dispatcher.xml, beans_bean_property,{'@name': 'basenames'| 'list': {'value': ['messages'| 'app.version.buildnumber']}},{'@name': 'basenames'| 'list': {'value': ['messages'| 'app.version.buildnumber']}}
dispatcher.xml, beans_bean_@id,annotationMaper,annotationMaper
dispatcher.xml, beans_bean_@class,org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping,org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping
